cmd                           |Dos窗口                       
q                             |Q-Dir                         
fi                            |firefox                       
fire                          |firefox                       
fir                           |firefox                       
p                             |p4v                           
e                             |Evernote                      
p4                            |p4v                           
ifp                           |castroIFP                     
qd                            |Q-Dir                         
x                             |xampp-control                 
fo                            |FO-start                      
ie                            |IE浏览器                      
ec                            |eclipse                       
note                          |Evernote                      
no                            |记事本                        
if                            |castroIFP                     
xa                            |xampp-control                 
ch                            |chrome                        
chr                           |chrome                        
msp                           |画图                          
pi                            |picpick                       
sql                           |sqldeveloper                  
sq                            |sqldeveloper                  
f                             |firefox                       
di                            |YodaoDict                     
cyg                           |Cygwin                        
conte                         |ConTEXT                       
dic                           |YodaoDict                     
cygw                          |Cygwin                        
ca                            |castroBO                      
ms                            |画图                          
ma                            |Microsoft Outlook 2010        
ip                            |communicatork9                
ecl                           |eclipse                       
castro                        |castroBO                      
pic                           |picpick                       
pu                            |putty                         
put                           |putty                         
cal                           |计算器                        
putt                          |putty                         
bo                            |BO-start                      
bost                          |BO-start                      
bos                           |BO-start                      
cy                            |Cygwin                        
myi                           |我的IP地址                    
my                            |我的IP地址                    
ev                            |Evernote                      
d                             |YodaoDict                     
qq                            |qq                            
ever                          |Evernote                      
v                             |Evernote                      
ef                            |firefox                       
                              |YodaoDict                     
ali                           |aliwangwang                   
dict                          |YodaoDict                     
